replicate,model,world,tokens_per_rank,arm,variant,phase_instrumented,p50_wall_us,p99_wall_us,max_reference_rel_l2
7051,dsv4-pro,8,128,agrs,agrs,True,1736.272,18394.201119999987,0.005142831709235907
7080,dsv4-pro,8,128,uccl,uccl-ll-coalesced,True,2103.2884999999997,2128.82944,0.003883225377649069
7081,dsv4-pro,8,128,uccl,uccl-dispatch-dedup,True,2017.211,2053.35112,0.00388331594876945
7082,dsv4-pro,8,128,uccl,uccl-dispatch-dedup,True,2033.4665,2066.16107,0.00388331594876945
7083,dsv4-pro,8,128,uccl,uccl-ll-coalesced,True,2123.576,2148.08604,0.0038832789286971092
7090,dsv4-pro,8,128,uccl,uccl-dispatch-dedup,True,2008.571,2066.5697099999998,0.0038832249119877815
7091,dsv4-pro,8,128,uccl,uccl-dispatch-indirect,True,1991.019,2024.94568,0.0038832719437777996
7092,dsv4-pro,8,128,uccl,uccl-dispatch-indirect,True,2001.5795,2062.07047,0.0038832249119877815
7093,dsv4-pro,8,128,uccl,uccl-dispatch-dedup,True,2039.6734999999999,3088.2620299999994,0.003883260302245617
7100,dsv4-pro,8,128,uccl,uccl-dispatch-indirect,True,1976.2335,2008.99172,0.0038832607679069042
7101,dsv4-pro,8,128,uccl,uccl-combine-indirect,True,1933.0520000000001,1976.74799,0.0038832249119877815
7102,dsv4-pro,8,128,uccl,uccl-combine-indirect,True,1962.603,1983.57515,0.0038832789286971092
7103,dsv4-pro,8,128,uccl,uccl-dispatch-indirect,True,2009.4180000000001,2047.6080399999998,0.0038832249119877815
7120,dsv4-pro,8,32,agrs,agrs,True,1167.9685,1649.7355299999997,0.005182587541639805
7121,dsv4-pro,8,32,uccl,uccl-ll-coalesced,True,1186.6395,1238.04984,0.0038893911987543106
7122,dsv4-pro,8,32,uccl,uccl-combine-indirect,True,1181.7105000000001,1235.1711500000001,0.0038894156459718943
7123,dsv4-pro,8,32,uccl,uccl-combine-indirect,True,1191.3899999999999,1245.12493,0.0038894156459718943
7124,dsv4-pro,8,32,uccl,uccl-ll-coalesced,True,1182.9915,1214.90968,0.003889405867084861
7125,dsv4-pro,8,32,agrs,agrs,True,1170.495,1195.64889,0.005182587541639805
7140,dsv4-pro,8,128,uccl,uccl-ll-coalesced,False,2078.2470000000003,2144.00404,0.0038832270074635744
7141,dsv4-pro,8,128,uccl,uccl-combine-indirect,False,1936.6025,1966.06148,0.0038832607679069042
7142,dsv4-pro,8,128,uccl,uccl-combine-indirect,False,1928.9875000000002,1965.60744,0.0038832249119877815
7143,dsv4-pro,8,128,uccl,uccl-ll-coalesced,False,2092.1185,2135.79064,0.0038832249119877815
7150,dsv4-pro,8,512,agrs,agrs,False,4231.407,4259.12504,0.005139640998095274
7151,dsv4-pro,8,512,uccl-ht,uccl-pinned,False,3995.8765000000003,4171.71843,0.004944868851453066
7152,dsv4-pro,8,512,uccl,uccl-combine-indirect,False,5377.056500000001,5469.9317599999995,0.0038834535516798496
7153,dsv4-pro,8,512,uccl,uccl-combine-indirect,False,5436.1585,5516.44151,0.0038834591396152973
7154,dsv4-pro,8,512,uccl-ht,uccl-pinned,False,4021.813,4085.20222,0.004944867454469204
7155,dsv4-pro,8,512,agrs,agrs,False,4251.9185,4285.41467,0.005139645654708147
