replicate,model,world,tokens_per_rank,arm,variant,phase_instrumented,p50_wall_us,p99_wall_us,max_reference_rel_l2
7170,dsv4-pro,8,128,agrs,agrs,False,1720.3865,22005.724929999964,0.00514282425865531
7171,dsv4-pro,8,128,uccl,uccl-combine-indirect,False,1933.6925,1959.69904,0.0038832607679069042
7172,dsv4-pro,8,128,uccl,uccl-dispatch-node,False,1849.5994999999998,1897.1792699999999,0.0038832249119877815
7173,dsv4-pro,8,128,uccl,uccl-dispatch-node,False,1888.4144999999999,1964.599679999999,0.0038832249119877815
7174,dsv4-pro,8,128,uccl,uccl-combine-indirect,False,1915.502,1972.9812199999997,0.0038832607679069042
7175,dsv4-pro,8,128,agrs,agrs,False,1715.331,20461.806459999887,0.005142826121300459
7190,dsv4-pro,8,512,agrs,agrs,False,4251.931500000001,4299.24605,0.005139652173966169
7191,dsv4-pro,8,512,uccl,uccl-combine-indirect,False,5396.5560000000005,5443.2606000000005,0.0038834542501717806
7192,dsv4-pro,8,512,uccl,uccl-dispatch-node,False,4994.263,5039.693850000001,0.0038834521546959877
7193,dsv4-pro,8,512,uccl,uccl-dispatch-node,False,4988.503000000001,5020.86957,0.0038834605365991592
7194,dsv4-pro,8,512,uccl,uccl-combine-indirect,False,5406.156,5446.30423,0.0038834488950669765
7195,dsv4-pro,8,512,agrs,agrs,False,4261.8675,4272.81473,0.005139646586030722
7210,glm52,8,128,agrs,agrs,False,1439.4965,14462.318179999951,0.0469612292945385
7211,glm52,8,128,uccl,uccl-combine-indirect,False,1198.6399999999999,1302.9550799999981,0.04589183256030083
7212,glm52,8,128,uccl,uccl-dispatch-node,False,1151.089,1180.74912,0.04589183256030083
7213,glm52,8,128,uccl,uccl-dispatch-node,False,1145.473,1226.56028,0.04589183256030083
7214,glm52,8,128,uccl,uccl-combine-indirect,False,1188.3519999999999,1225.37724,0.04589183256030083
7215,glm52,8,128,agrs,agrs,False,1440.777,18946.61018,0.0469612292945385
7240,dsv4-pro,16,128,agrs,agrs,False,1842.739,39479.38045999984,0.005208299029618502
7241,dsv4-pro,16,128,uccl,uccl-combine-indirect,False,2168.5625,2241.16929,0.003891973290592432
7242,dsv4-pro,16,128,uccl,uccl-dispatch-node,False,1959.4160000000002,2051.1005099999998,0.0038919413927942514
7243,dsv4-pro,16,128,uccl,uccl-dispatch-node,False,1996.8375,2071.52065,0.003891999600455165
7244,dsv4-pro,16,128,uccl,uccl-combine-indirect,False,2089.2219999999998,2370.7315799999938,0.003891995642334223
7245,dsv4-pro,16,128,agrs,agrs,False,1844.4814999999999,37282.14001999999,0.005208288319408894
7250,dsv4-pro,16,512,agrs,agrs,False,5356.2675,6950.459269999994,0.005201639607548714
7251,dsv4-pro,16,512,uccl-ht,uccl-pinned,False,6444.5805,6568.63288,0.004791889805346727
7252,dsv4-pro,16,512,uccl,uccl-dispatch-node,False,6231.148,6360.0208,0.0038834423758089542
7253,dsv4-pro,16,512,uccl,uccl-dispatch-node,False,6289.716,6483.9136,0.0038834346923977137
7254,dsv4-pro,16,512,uccl-ht,uccl-pinned,False,6450.031000000001,28564.31874999935,0.004791884683072567
7255,dsv4-pro,16,512,agrs,agrs,False,5348.9995,5589.619449999994,0.005201651714742184
7260,glm52,16,128,agrs,agrs,False,1742.5655,43239.78565999999,0.047040484845638275
7261,glm52,16,128,uccl,uccl-combine-indirect,False,1500.649,1597.6842699999997,0.04595458507537842
7262,glm52,16,128,uccl,uccl-dispatch-node,False,1506.712,2816.774709999991,0.04595458507537842
7263,glm52,16,128,uccl,uccl-dispatch-node,False,1386.3029999999999,1494.6998700000001,0.04595458507537842
7264,glm52,16,128,uccl,uccl-combine-indirect,False,1477.1965,1539.34532,0.04595458507537842
7265,glm52,16,128,agrs,agrs,False,1743.38,44176.72394999999,0.047040484845638275
7270,glm52,16,512,agrs,agrs,False,5224.569,5296.29394,0.047024670988321304
7271,glm52,16,512,uccl-ht,uccl-pinned,False,4569.2595,4676.72984,0.046963755041360855
7272,glm52,16,512,uccl,uccl-dispatch-node,False,4477.963,4672.151879999999,0.045830849558115005
7273,glm52,16,512,uccl,uccl-dispatch-node,False,4609.475,5018.886219999999,0.045830849558115005
7274,glm52,16,512,uccl-ht,uccl-pinned,False,4597.507,4720.27919,0.046963755041360855
7275,glm52,16,512,agrs,agrs,False,5210.043,5286.117909999999,0.047024670988321304
7330,dsv4-pro,16,2048,agrs,agrs,False,19228.4465,19310.03248,0.005195649806410074
7331,dsv4-pro,16,2048,uccl-ht,uccl-pinned,False,21864.967,22089.412989999997,0.004780816845595837
7332,dsv4-pro,16,2048,uccl,uccl-combine-direct-send,False,23180.4395,44790.9475999994,0.00388075178489089
7333,dsv4-pro,16,2048,uccl,uccl-combine-direct-send,False,22752.167,23781.43786,0.003880750620737672
7334,dsv4-pro,16,2048,uccl-ht,uccl-pinned,False,21866.4035,22225.927779999998,0.004780826158821583
7335,dsv4-pro,16,2048,agrs,agrs,False,19205.1845,19455.05389,0.005195639096200466
7340,glm52,16,2048,agrs,agrs,False,19540.952,21864.927949999998,0.04698001965880394
7341,glm52,16,2048,uccl-ht,uccl-pinned,False,15140.414499999999,15357.11841,0.04692034423351288
7342,glm52,16,2048,uccl,uccl-combine-direct-send,False,20994.684999999998,22598.23476,0.04579349234700203
7343,glm52,16,2048,uccl,uccl-combine-direct-send,False,21121.145,22261.82953,0.04579349234700203
7344,glm52,16,2048,uccl-ht,uccl-pinned,False,15136.521,15396.422059999999,0.04692034423351288
7345,glm52,16,2048,agrs,agrs,False,19540.0705,20239.55783,0.04698001965880394
7350,dsv4-pro,16,128,agrs,agrs,False,1842.845,29171.638189999987,0.005208299029618502
7351,dsv4-pro,16,128,uccl,uccl-dispatch-node,False,1970.2845000000002,2032.07805,0.00389199354685843
7352,dsv4-pro,16,128,uccl,uccl-combine-direct-send,False,1965.136,2038.58072,0.003891975386068225
7353,dsv4-pro,16,128,uccl,uccl-combine-direct-send,False,1958.5605,12535.155239999991,0.0038919553626328707
7354,dsv4-pro,16,128,uccl,uccl-dispatch-node,False,1999.471,2091.20715,0.003891975386068225
7355,dsv4-pro,16,128,agrs,agrs,False,1844.0135,42846.03406999992,0.005208299495279789
